scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_off,2,22,0,1.047091,1.069800,1.020950,1.036432,0.985235,1.069289,1.253843,16418875.25,0.00,0,15338760.19,0.00,0.00,0,193,199411.21,0.00,0.00,131889.86,424.520000,500,437,0.500000,0.000000,193,193,64072.46,71,78,44,193,191,40091.44,64,89,38,45,34,13474.11,13,17,4,32,14,10208.26,3,5,6,27,3,2004.99,3,0,0,10,2,2038.60,0,2,0,807,880703.85,0.00,0.00,530786.60,1726.040000,2134,1823,1.000000,0.000000,807,806,256680.42,328,322,156,807,797,162036.00,331,304,162,203,132,54918.14,54,50,28,154,67,38353.19,28,28,11,111,14,12336.38,8,4,2,52,7,6462.47,4,2,1
credit_off,2,23,0,1.048799,1.070840,1.021180,1.045468,0.994373,1.058263,1.250653,16418875.25,0.00,0,15340729.92,0.00,0.00,0,193,199889.99,0.00,0.00,129641.10,414.960000,498,428,1.000000,0.000000,193,187,62030.00,61,89,37,193,192,39843.32,64,93,35,40,28,12394.48,12,7,9,34,12,6889.42,7,2,3,29,6,5236.86,2,4,0,9,3,3247.02,1,1,1,807,878255.34,0.00,0.00,529083.64,1703.880000,2149,1807,2.000000,0.000000,807,785,246894.03,339,296,150,807,794,161009.23,329,307,158,209,139,57275.53,55,60,24,153,60,35334.32,26,22,12,116,22,21812.33,9,7,6,57,7,6758.20,3,3,1
credit_off,2,24,0,1.049927,1.069600,1.020580,1.056604,0.990527,1.077850,1.272593,16418875.25,0.00,0,15336664.15,0.00,0.00,0,193,200052.86,0.00,0.00,129957.01,415.400000,498,427,1.000000,0.000000,193,188,63704.96,62,82,44,193,187,39385.52,59,92,36,47,35,13056.42,20,11,4,28,9,5146.82,3,5,1,29,6,6863.82,0,4,2,8,2,1799.47,1,1,0,807,882158.24,0.00,0.00,522732.23,1690.320000,2155,1806,1.000000,0.000000,807,796,248222.72,338,318,140,807,792,157093.20,341,308,143,202,121,49744.30,47,56,18,160,74,44419.16,30,28,16,115,15,14871.58,5,7,3,64,8,8381.27,3,3,2
credit_off,2,25,0,1.049840,1.069213,1.019450,1.056102,0.997274,1.068378,1.300505,16418875.25,0.00,0,15297117.73,0.00,0.00,0,193,198692.81,0.00,0.00,131479.93,421.000000,501,425,1.000000,0.000000,193,184,62623.77,63,75,46,193,186,40142.22,63,78,45,55,40,18582.01,13,14,13,27,11,6362.28,5,4,2,25,2,1951.64,0,2,0,8,2,1818.01,1,1,0,807,923064.71,0.00,0.00,485728.66,1573.360000,2110,1678,3.000000,0.000000,807,750,234460.11,337,266,147,807,754,150556.94,337,266,151,175,95,40031.30,40,35,20,131,46,27498.34,20,16,10,128,26,25356.11,11,9,6,62,7,7825.86,2,3,2
credit_off,2,26,0,1.047422,1.067287,1.017690,1.051870,0.981246,1.078951,1.321940,16418875.25,0.00,0,15287914.52,0.00,0.00,0,193,200966.34,0.00,0.00,127846.35,417.080000,492,427,1.000000,0.000000,193,193,62933.96,73,79,41,193,191,40883.07,62,86,43,39,23,9863.90,7,12,4,33,16,10523.44,3,9,4,27,4,3641.98,1,3,0,7,0,0.00,0,0,0,807,929994.39,0.00,0.00,519705.45,1696.120000,2140,1799,2.000000,0.000000,807,797,251688.94,327,321,149,807,799,161455.93,328,314,157,197,119,48216.06,53,46,20,139,58,29492.26,30,24,4,123,17,19027.41,3,8,6,67,9,9824.85,3,4,2
credit_off,2,27,0,1.047697,1.070107,1.020070,1.042852,0.974556,1.072306,1.317250,16418875.25,0.00,0,15287773.20,0.00,0.00,0,193,210092.28,0.00,0.00,120993.94,405.720000,483,423,3.000000,0.000000,193,193,63025.99,75,76,42,193,193,40259.71,68,86,39,33,21,8013.73,8,12,1,29,13,6964.29,7,4,2,26,2,1659.16,1,1,0,9,1,1071.06,0,1,0,807,921009.77,0.00,0.00,535619.75,1727.040000,2163,1820,2.000000,0.000000,807,806,257816.24,324,324,158,807,796,162437.04,321,314,161,201,121,48771.81,54,46,21,152,70,41802.49,26,29,15,126,20,17137.58,10,9,1,70,7,7654.59,3,2,2
credit_off,2,28,0,1.049258,1.074807,1.021520,1.033315,0.983980,1.055464,1.305925,16418875.25,0.00,0,15291799.94,0.00,0.00,0,193,208788.61,0.00,0.00,131423.55,415.160000,509,425,0.000000,0.000000,193,183,62964.49,59,79,45,193,184,38703.55,65,80,39,46,32,13245.30,12,14,6,36,20,11411.09,8,9,3,30,4,3309.42,2,2,0,11,2,1789.70,1,1,0,807,918286.70,0.00,0.00,529358.20,1699.240000,2182,1799,2.000000,0.000000,807,791,250725.65,341,295,155,807,787,159525.82,335,291,161,212,130,54254.01,50,53,27,145,61,35815.39,25,24,12,140,24,23668.23,9,9,6,71,6,5369.10,3,3,0
credit_off,2,29,0,1.051078,1.074220,1.021410,1.042802,0.984653,1.087825,1.291980,16418875.25,0.00,0,15303393.26,0.00,0.00,0,193,202349.88,0.00,0.00,136558.61,433.560000,498,439,1.000000,0.000000,193,193,65178.66,65,84,44,193,191,41200.07,62,85,44,42,32,14040.37,11,13,8,32,19,12371.76,3,12,4,29,3,2696.85,1,2,0,9,1,1070.90,0,1,0,807,913132.11,0.00,0.00,531789.72,1711.680000,2188,1816,2.000000,0.000000,807,804,255408.45,335,316,153,807,789,158240.43,328,315,146,221,135,55451.97,56,54,25,149,64,36900.27,30,21,13,133,19,20281.80,6,7,6,71,5,5506.80,1,3,1
credit_off,2,30,0,1.051119,1.074180,1.021140,1.046810,0.988230,1.081343,1.268493,16418875.25,0.00,0,15297424.03,0.00,0.00,0,193,193081.26,0.00,0.00,139388.50,431.320000,508,441,0.000000,0.000000,193,191,63977.61,64,86,41,193,193,40544.71,67,86,40,45,28,11746.58,10,13,5,35,20,13129.46,6,8,6,33,8,8919.24,2,3,3,9,1,1070.90,0,1,0,807,928369.96,0.00,0.00,511397.28,1670.520000,2169,1787,3.000000,0.000000,807,792,248769.82,336,314,142,807,792,158232.29,333,314,145,207,124,47642.92,57,54,13,134,53,31419.97,22,20,11,135,18,17326.14,7,8,3,79,8,8006.14,4,2,2
credit_off,2,31,0,1.051415,1.074267,1.020230,1.047909,0.984342,1.093333,1.288933,16418875.25,0.00,0,15293896.03,0.00,0.00,0,193,190072.53,0.00,0.00,133128.61,429.600000,515,444,1.000000,0.000000,193,193,64073.48,71,79,43,193,192,40219.82,73,76,43,57,41,17439.71,19,11,11,30,15,9324.01,4,8,3,32,3,2071.59,3,0,0,10,0,0.00,0,0,0,807,934906.69,0.00,0.00,520098.40,1695.240000,2147,1787,4.000000,0.000000,807,805,257825.08,327,321,157,807,798,161758.90,325,317,156,178,107,45097.16,42,43,22,133,52,31209.60,18,24,10,144,16,14636.00,8,6,2,78,9,9571.66,3,4,2
